district,province,year,flooded,risk_score
Mohmand,KPK,2011,0,0.026201993
Bajaur,KPK,2011,0,0.027760807
South Waziristan,KPK,2011,0,0.0022960028
North Waziristan,KPK,2011,0,0.0017538712
Torghar,KPK,2011,0,0.12036883
Kolai Pallas,KPK,2011,0,0.11707028
Swabi,KPK,2011,0,0.17702676
Tor Ghar,KPK,2011,0,0.0023329153
Khyber Tribal,KPK,2011,0,0.001871171
Quetta,Balochistan,2011,0,0.008449569
Naseerabad,Balochistan,2011,1,0.9324533
Jaffarabad,Balochistan,2011,1,0.9284254
Lasbela,Balochistan,2011,0,0.7212452
Kalat,Balochistan,2011,0,0.0734599
Khuzdar,Balochistan,2011,0,0.07649655
Turbat,Balochistan,2011,0,0.011439657
Gwadar,Balochistan,2011,0,0.033281107
Panjgur,Balochistan,2011,0,0.034383494
Chagai,Balochistan,2011,0,0.0017799082
Nushki,Balochistan,2011,0,0.0021041506
Kharan,Balochistan,2011,0,0.0027070825
Washuk,Balochistan,2011,0,0.0021387383
Awaran,Balochistan,2011,0,0.038302373
Kech,Balochistan,2011,0,0.011373059
Dera Bugti,Balochistan,2011,1,0.6900445
Kohlu,Balochistan,2011,0,0.001194643
Sibi,Balochistan,2011,0,0.06320978
Ziarat,Balochistan,2011,0,0.0011123689
Pishin,Balochistan,2011,0,0.01687623
Qilla Abdullah,Balochistan,2011,0,0.0024731664
Qilla Saifullah,Balochistan,2011,0,0.00063591206
Loralai,Balochistan,2011,0,0.0073445337
Musakhel,Balochistan,2011,0,0.015942948
Barkhan,Balochistan,2011,0,0.006872468
Harnai,Balochistan,2011,0,0.0039737397
Sherani,Balochistan,2011,0,0.002421993
Zhob,Balochistan,2011,0,0.0027208715
Jhal Magsi,Balochistan,2011,1,0.90308183
Khairpur Tamewali,Balochistan,2011,0,0.003337045
Mastung,Balochistan,2011,0,0.009772246
Surab,Balochistan,2011,0,0.002904863
Lehri,Balochistan,2011,0,0.08304771
Gilgit,GB,2011,0,0.23983563
Skardu,GB,2011,0,0.020431688
Hunza,GB,2011,0,0.20360486
Nagar,GB,2011,0,0.03160916
Ghanche,GB,2011,0,0.041621745
Shigar,GB,2011,0,0.002640855
Kharmang,GB,2011,0,0.0039042598
Roundu,GB,2011,0,0.054039434
Tangir,GB,2011,0,0.011595783
Darel,GB,2011,0,0.014345969
Diamer,GB,2011,0,0.22671977
Astore,GB,2011,0,0.16799504
Ghizer,GB,2011,0,0.07597774
Gupis Yasin,GB,2011,0,0.033853285
Muzaffarabad,AJK,2011,0,0.16434248
Mirpur,AJK,2011,0,0.021278795
Bagh,AJK,2011,0,0.10335454
Rawalakot,AJK,2011,0,0.0013584101
Kotli,AJK,2011,0,0.026681732
Neelum,AJK,2011,0,0.1513403
Haveli,AJK,2011,0,0.0012280641
Sudhnoti,AJK,2011,0,0.001051024
Hattian Bala,AJK,2011,0,0.10077891
Jhelum Valley,AJK,2011,0,0.09977072
