district,year,flooded,annual_total_mm,annual_max_daily,monsoon_total_mm,monsoon_avg_daily,monsoon_max_daily,monsoon_rainy_days,premonsoon_total_mm,province,lat,lon,elevation_m,terrain_type,river_proximity,flood_risk_geo,terrain_code,geo_risk_code,province_code,flood_intensity_score,flood_intensity_category,flood_intensity_code,risk_score
Dir Upper,2010,1,719.18,96.46,345.57,2.8325,96.46,15,136.15,KPK,35.5742,72.015,1370,mountains,1,medium,4,2,3.0,45.6707,low,2,0.9909758
Dir Lower,2010,1,853.5,125.96,486.97,3.9916,125.96,23,117.0,KPK,34.87,71.89,900,mountains,1,medium,4,2,3.0,77.1041,moderate,3,0.98969615
Chitral,2010,1,551.89,62.59,202.32,1.6584,62.59,9,147.46,KPK,35.8514,71.7864,1500,mountains,1,medium,4,2,3.0,26.8512,low,2,0.97980654
Kohistan,2010,1,920.71,77.71,547.13,4.4847,77.71,28,118.44,KPK,35.0,73.0,1200,mountains,1,medium,4,2,3.0,60.6771,moderate,3,0.988485
Tank,2010,0,614.19,89.75,550.19,4.5098,89.75,22,8.21,KPK,32.2194,70.3753,262,plains,1,medium,1,2,3.0,133.8361,high,4,0.5809786
Dera Ismail Khan,2010,0,614.19,89.75,550.19,4.5098,89.75,22,8.21,KPK,31.8303,70.9017,173,plains,1,medium,1,2,3.0,164.5418,high,4,0.48294094
Mardan,2010,0,730.73,100.65,480.02,3.9346,100.65,19,63.65,KPK,34.1986,72.0404,283,plains,1,medium,1,2,3.0,122.906,high,4,0.41457826
Abbottabad,2010,0,986.54,107.61,594.72,4.8748,107.61,34,100.85,KPK,34.1558,73.2194,1256,mountains,0,low,4,1,3.0,17.5734,low,2,0.005405941
Haripur,2010,0,986.54,107.61,594.72,4.8748,107.61,34,100.85,KPK,33.9942,72.9394,580,hills,1,medium,3,2,3.0,103.3942,high,4,0.035278156
Mansehra,2010,1,1072.28,89.13,672.17,5.5096,89.13,33,116.13,KPK,34.3325,73.1975,980,mountains,1,medium,4,2,3.0,80.593,moderate,3,0.96969664
Battagram,2010,1,1072.28,89.13,672.17,5.5096,89.13,33,116.13,KPK,34.68,73.02,830,mountains,1,medium,4,2,3.0,87.5652,moderate,3,0.98365456
Shangla,2010,1,941.76,102.71,554.75,4.5471,102.71,26,126.64,KPK,35.0,72.6,1100,mountains,1,medium,4,2,3.0,69.5898,moderate,3,0.9852085
Buner,2010,1,962.69,112.19,622.6,5.1033,112.19,25,101.8,KPK,34.51,72.5,750,mountains,1,medium,4,2,3.0,92.7501,moderate,3,0.84459287
Malakand,2010,1,834.74,126.61,522.22,4.2805,126.61,20,89.43,KPK,34.5658,71.9303,850,mountains,1,medium,4,2,3.0,81.7982,moderate,3,0.958516
Hangu,2010,0,727.65,91.62,501.37,4.1096,91.62,20,54.21,KPK,33.5286,71.0594,710,hills,0,low,3,1,3.0,19.2788,low,2,0.005126058
Karak,2010,0,687.3,78.94,518.47,4.2498,78.94,22,36.28,KPK,33.1172,71.0942,590,hills,0,low,3,1,3.0,20.648,low,2,0.00430598
