district,year,flooded,annual_total_mm,annual_max_daily,monsoon_total_mm,monsoon_avg_daily,monsoon_max_daily,monsoon_rainy_days,premonsoon_total_mm,province,lat,lon,elevation_m,terrain_type,river_proximity,flood_risk_geo,terrain_code,geo_risk_code,province_code,flood_intensity_score,flood_intensity_category,flood_intensity_code,risk_score
Roundu,2016,0,353.1,11.98,133.85,1.0971,7.67,7,81.55,GB,35.5,73.7,1600,mountains,1,medium,4,2,6.0,11.4734,very_low,1,0.016651629
Tangir,2016,0,450.42,18.52,156.07,1.2793,8.17,7,117.74,GB,35.5,73.2,1400,mountains,1,medium,4,2,6.0,15.0876,low,2,0.0026087638
Darel,2016,0,450.42,18.52,156.07,1.2793,8.17,7,117.74,GB,35.55,73.4,1500,mountains,1,medium,4,2,6.0,14.5764,very_low,1,0.0032523924
Diamer,2016,0,653.73,19.24,294.65,2.4152,19.08,16,120.83,GB,35.1667,73.6667,1600,mountains,1,medium,4,2,6.0,23.9195,low,2,0.107568026
Astore,2016,0,363.59,19.91,105.15,0.8619,8.11,4,102.41,GB,35.3667,74.9,2590,mountains,1,medium,4,2,6.0,8.5584,very_low,1,0.02459125
Ghizer,2016,0,195.26,8.08,60.35,0.4947,4.01,0,55.9,GB,36.2,73.75,2200,mountains,1,medium,4,2,6.0,4.4651,very_low,1,0.033420857
Gupis Yasin,2016,0,241.01,11.65,61.18,0.5015,3.04,0,80.41,GB,36.17,73.27,2260,mountains,1,medium,4,2,6.0,5.048,very_low,1,0.011703892
Muzaffarabad,2016,0,907.08,30.4,445.6,3.6525,30.4,25,145.09,AJK,34.37,73.47,737,mountains,1,medium,4,2,5.0,53.8405,moderate,3,0.10482059
Mirpur,2016,0,882.8,80.09,643.5,5.2746,80.09,34,69.19,AJK,33.1478,73.7508,411,hills,1,medium,3,2,5.0,117.7035,high,4,0.026043529
Bagh,2016,0,879.41,42.88,434.22,3.5592,42.88,30,146.39,AJK,33.9861,73.7808,1070,mountains,1,medium,4,2,5.0,47.8262,low,2,0.04007528
Rawalakot,2016,0,879.41,42.88,434.22,3.5592,42.88,30,146.39,AJK,33.8583,73.7611,1676,mountains,0,low,4,1,5.0,9.5551,very_low,1,0.00081062986
Kotli,2016,0,914.44,66.96,564.4,4.6262,66.96,38,110.49,AJK,33.5136,73.9017,614,hills,1,medium,3,2,5.0,85.4157,moderate,3,0.027446719
Neelum,2016,0,907.08,30.4,445.6,3.6525,30.4,25,145.09,AJK,34.55,73.9,1400,mountains,1,medium,4,2,5.0,39.0767,low,2,0.07097914
Haveli,2016,0,879.41,42.88,434.22,3.5592,42.88,30,146.39,AJK,33.77,73.66,1200,mountains,0,low,4,1,5.0,11.2909,very_low,1,0.00080763863
Sudhnoti,2016,0,914.44,66.96,564.4,4.6262,66.96,38,110.49,AJK,33.55,73.67,960,hills,0,low,3,1,5.0,17.0826,low,2,0.001003928
Hattian Bala,2016,0,907.08,30.4,445.6,3.6525,30.4,25,145.09,AJK,34.37,73.83,1050,mountains,1,medium,4,2,5.0,45.1166,low,2,0.06587783
Jhelum Valley,2016,0,907.08,30.4,445.6,3.6525,30.4,25,145.09,AJK,34.67,73.67,1600,mountains,1,medium,4,2,5.0,36.5546,low,2,0.0469792
Islamabad,2016,0,929.19,68.86,599.61,4.9148,68.86,31,106.84,ICT,33.7294,73.0931,540,hills,0,low,3,1,0.0,23.3878,low,2,0.0014746379
Lahore,2017,1,581.7,29.04,427.34,3.5028,29.04,24,53.92,Punjab,31.5204,74.3587,217,plains,1,medium,1,2,1.0,94.9511,moderate,3,0.8591288
Multan,2017,0,185.46,30.33,133.58,1.0949,30.33,8,12.76,Punjab,30.1575,71.5249,122,plains,1,high,1,3,1.0,82.6694,moderate,3,0.3727228
Faisalabad,2017,0,371.68,24.8,257.04,2.1069,22.54,21,49.79,Punjab,31.4504,73.135,186,plains,0,medium,1,2,1.0,34.4172,low,2,0.0062771826
Rawalpindi,2017,0,913.51,46.51,540.29,4.4286,46.51,30,114.33,Punjab,33.5651,73.0169,508,hills,0,low,3,1,1.0,20.4864,low,2,0.0027210359
Gujranwala,2017,1,761.4,40.76,552.39,4.5278,40.76,39,71.73,Punjab,32.1877,74.1945,228,plains,1,medium,1,2,1.0,124.6182,high,4,0.74857515
Sialkot,2017,0,976.01,50.45,662.91,5.4337,50.45,38,100.3,Punjab,32.4945,74.5229,256,plains,1,medium,1,2,1.0,138.641,high,4,0.077295795
Bahawalpur,2017,0,159.42,26.06,111.99,0.918,26.06,8,17.32,Punjab,29.3956,71.6836,117,plains,1,high,1,3,1.0,72.5306,moderate,3,0.46251354
Rahim Yar Khan,2017,0,128.45,21.43,94.4,0.7738,21.43,5,7.88,Punjab,28.4212,70.2989,82,plains,1,high,1,3,1.0,70.4687,moderate,3,0.44432437
DG Khan,2017,1,161.82,23.65,113.41,0.9296,23.65,9,9.07,Punjab,30.0368,70.634,138,plains,1,high,1,3,1.0,65.5715,moderate,3,0.9059526
Muzaffargarh,2017,1,185.46,30.33,133.58,1.0949,30.33,8,12.76,Punjab,30.0736,71.193,118,plains,1,high,1,3,1.0,84.0473,moderate,3,0.8806857
Gujrat,2017,0,976.01,50.45,662.91,5.4337,50.45,38,100.3,Punjab,32.5742,74.0796,246,plains,1,medium,1,2,1.0,141.4196,high,4,0.077295795
Sheikhupura,2017,1,447.1,21.58,321.62,2.6362,21.58,24,47.96,Punjab,31.7167,73.985,213,plains,1,medium,1,2,1.0,74.4102,moderate,3,0.832692
Sargodha,2017,0,448.16,32.39,300.58,2.4638,25.44,22,67.83,Punjab,32.0836,72.6711,187,plains,1,medium,1,2,1.0,81.1383,moderate,3,0.03342298
Jhang,2017,0,370.24,26.9,254.79,2.0884,23.09,17,51.14,Punjab,31.2681,72.3181,164,plains,1,high,1,3,1.0,108.4483,high,4,0.30507043
Kasur,2017,0,462.87,21.2,344.02,2.8198,21.2,20,41.14,Punjab,31.1167,74.45,210,plains,1,medium,1,2,1.0,76.7768,moderate,3,0.012723936
Okara,2017,0,351.95,23.84,258.09,2.1155,23.84,21,35.31,Punjab,30.81,73.4597,174,plains,0,medium,1,2,1.0,35.3826,low,2,0.0028942698
Sahiwal,2017,0,230.11,23.92,169.44,1.3889,23.92,13,23.1,Punjab,30.6682,73.1166,170,plains,0,medium,1,2,1.0,25.8481,low,2,0.0023896988
Pakpattan,2017,0,230.11,23.92,169.44,1.3889,23.92,13,23.1,Punjab,30.3436,73.3868,154,plains,1,high,1,3,1.0,81.4484,moderate,3,0.010030261
Bahawalnagar,2017,0,191.21,23.26,143.69,1.1778,23.26,10,19.06,Punjab,29.9947,73.2536,140,plains,1,high,1,3,1.0,74.6487,moderate,3,0.05030494
Vehari,2017,0,184.63,21.09,136.38,1.1179,21.09,9,18.23,Punjab,30.0444,72.3508,134,plains,1,high,1,3,1.0,71.0088,moderate,3,0.27974018
Lodhran,2017,0,159.42,26.06,111.99,0.918,26.06,8,17.32,Punjab,29.5372,71.632,111,plains,1,high,1,3,1.0,74.448,moderate,3,0.4518579
Khanewal,2017,0,223.52,26.26,162.03,1.3281,26.26,9,18.59,Punjab,30.3014,71.932,122,plains,1,high,1,3,1.0,88.312,moderate,3,0.15025689
Chiniot,2017,0,371.68,24.8,257.04,2.1069,22.54,21,49.79,Punjab,31.72,72.9781,178,plains,1,high,1,3,1.0,105.5336,high,4,0.015244119
Hafizabad,2017,1,598.31,31.12,429.83,3.5232,31.12,33,66.79,Punjab,32.0714,73.6881,212,plains,1,medium,1,2,1.0,101.3087,high,4,0.7741009
Narowal,2017,0,963.07,54.67,693.69,5.686,54.67,44,80.07,Punjab,32.1,74.8728,240,plains,1,medium,1,2,1.0,152.4214,high,4,0.07020516
Nankana Sahib,2017,0,447.1,21.58,321.62,2.6362,21.58,24,47.96,Punjab,31.45,73.71,210,plains,1,medium,1,2,1.0,74.9374,moderate,3,0.044410992
Mandi Bahauddin,2017,0,803.38,59.04,566.85,4.6463,59.04,34,92.63,Punjab,32.5853,73.4912,230,plains,1,medium,1,2,1.0,134.009,high,4,0.007385117
Attock,2017,0,887.99,32.3,472.63,3.874,32.3,34,115.05,Punjab,33.7667,72.3601,305,hills,1,medium,3,2,1.0,91.2779,moderate,3,0.047083624
Chakwal,2017,0,804.13,46.48,524.48,4.299,46.48,33,103.37,Punjab,32.9319,72.8561,498,hills,0,low,3,1,1.0,20.4648,low,2,0.0018397316
Jhelum,2017,0,978.84,60.3,632.63,5.1855,60.3,33,121.78,Punjab,32.9263,73.7267,287,hills,1,medium,3,2,1.0,129.5603,high,4,0.008644963
Khushab,2017,0,529.69,30.78,345.18,2.8293,21.77,23,78.09,Punjab,32.2958,72.3514,210,plains,1,medium,1,2,1.0,83.4838,moderate,3,0.039930377
Bhakkar,2017,0,264.94,47.54,181.26,1.4857,47.54,12,24.81,Punjab,31.6267,71.0647,145,plains,1,high,1,3,1.0,110.1557,high,4,0.13340895
Layyah,2017,1,236.71,26.93,167.23,1.3707,26.93,7,18.2,Punjab,30.9597,70.9436,134,plains,1,high,1,3,1.0,85.0497,moderate,3,0.6901077
Toba Tek Singh,2017,0,290.76,25.54,206.35,1.6914,25.54,13,33.22,Punjab,30.97,72.48,168,plains,0,medium,1,2,1.0,29.9062,low,2,0.0010127998
Dera Ghazi Khan,2017,1,161.82,23.65,113.41,0.9296,23.65,9,9.07,Punjab,30.05,70.64,138,plains,1,high,1,3,1.0,65.5715,moderate,3,0.90819937
Karachi Central,2017,0,213.84,34.67,168.65,1.3824,34.67,9,0.85,Sindh,24.9056,67.0822,8,coastal,0,high,2,3,2.0,184.03,high,4,0.0501314
Karachi East,2017,0,213.84,34.67,168.65,1.3824,34.67,9,0.85,Sindh,24.94,67.13,10,coastal,0,high,2,3,2.0,166.4614,high,4,0.007134739
Karachi West,2017,0,213.84,34.67,168.65,1.3824,34.67,9,0.85,Sindh,24.88,66.99,8,coastal,0,high,2,3,2.0,184.03,high,4,0.051064968
Karachi South,2017,0,213.84,34.67,168.65,1.3824,34.67,9,0.85,Sindh,24.84,67.01,5,coastal,0,high,2,3,2.0,225.3898,high,4,0.007772967
Malir,2017,0,182.21,23.17,159.2,1.3049,23.17,11,0.0,Sindh,25.07,67.2,15,coastal,0,high,2,3,2.0,118.77,high,4,0.048365712
Hyderabad,2017,0,122.97,14.36,116.51,0.955,14.36,8,0.0,Sindh,25.396,68.3578,38,plains,1,high,1,3,2.0,106.286,high,4,0.050035607
Sukkur,2017,1,70.18,18.89,49.82,0.4084,18.89,2,1.75,Sindh,27.7052,68.8574,65,plains,1,high,1,3,2.0,52.1947,moderate,3,0.8896723
Larkana,2017,0,76.34,31.08,59.91,0.4911,31.08,3,1.58,Sindh,27.559,68.21,56,plains,1,high,1,3,2.0,81.543,moderate,3,0.2729199
Thatta,2017,0,331.37,64.17,326.05,2.6725,64.17,13,0.0,Sindh,24.7461,67.9236,12,coastal,1,high,2,3,2.0,571.5686,extreme,6,0.19339901
Dadu,2017,0,70.62,17.65,55.49,0.4548,17.65,2,0.5,Sindh,26.73,67.78,50,plains,1,high,1,3,2.0,60.151,moderate,3,0.2589443
Jacobabad,2017,0,102.88,26.37,71.38,0.5851,26.37,4,3.18,Sindh,28.2769,68.4376,55,plains,1,high,1,3,2.0,81.4356,moderate,3,0.4662298
Kashmore,2017,1,105.17,15.73,76.31,0.6255,15.73,6,4.46,Sindh,28.4419,69.5714,60,plains,1,high,1,3,2.0,66.256,moderate,3,0.9337117
Kamber,2017,0,76.34,31.08,59.91,0.4911,31.08,3,1.58,Sindh,27.5867,68.0019,48,plains,1,high,1,3,2.0,87.948,moderate,3,0.18571234
Shikarpur,2017,0,79.28,15.37,51.53,0.4224,15.37,3,2.66,Sindh,27.9558,68.6381,58,plains,1,high,1,3,2.0,51.6782,moderate,3,0.06942931
Mirpur Khas,2017,0,127.69,16.17,122.31,1.0025,16.17,8,0.01,Sindh,25.527,69.0144,28,plains,1,high,1,3,2.0,131.167,high,4,0.044623293
Sanghar,2017,0,92.29,19.61,86.61,0.7099,19.61,4,0.18,Sindh,26.0469,68.9469,42,plains,1,high,1,3,2.0,88.9244,moderate,3,0.26387691
Nawabshah,2017,0,89.58,20.74,83.24,0.6823,20.74,5,0.09,Sindh,26.2439,68.41,37,plains,1,high,1,3,2.0,96.2856,moderate,3,0.5514503
Naushahro Feroze,2017,0,67.85,19.35,56.4,0.4623,19.35,3,1.26,Sindh,26.8381,68.1142,44,plains,1,high,1,3,2.0,68.9067,moderate,3,0.05743926
Khairpur,2017,0,70.18,18.89,49.82,0.4084,18.89,2,1.75,Sindh,27.529,68.7592,52,plains,1,high,1,3,2.0,58.2453,moderate,3,0.55741763
Ghotki,2017,1,107.39,29.36,82.24,0.6741,29.36,3,5.61,Sindh,28.005,69.3214,62,plains,1,high,1,3,2.0,85.0904,moderate,3,0.8296037
Badin,2017,0,336.03,63.7,331.83,2.7199,63.7,13,0.0,Sindh,24.6558,68.8369,10,coastal,1,high,2,3,2.0,625.9339,extreme,6,0.060671482
Tharparkar,2017,0,385.11,45.95,383.05,3.1398,45.95,21,0.2,Sindh,24.71,70.23,85,plains,0,medium,1,2,2.0,76.1795,moderate,3,0.007884227
Umerkot,2017,0,228.0,19.85,220.63,1.8084,19.85,18,2.78,Sindh,25.36,69.74,52,plains,0,medium,1,2,2.0,54.6909,moderate,3,0.015365456
Matiari,2017,0,127.69,16.17,122.31,1.0025,16.17,8,0.01,Sindh,25.59,68.46,30,plains,1,high,1,3,2.0,126.8653,high,4,0.042120453
Jamshoro,2017,0,122.97,14.36,116.51,0.955,14.36,8,0.0,Sindh,25.43,68.28,32,plains,1,high,1,3,2.0,115.5451,high,4,0.046905518
Sujawal,2017,0,331.37,64.17,326.05,2.6725,64.17,13,0.0,Sindh,24.59,68.32,8,coastal,1,high,2,3,2.0,686.94,extreme,6,0.06163239
Tando Allahyar,2017,0,127.69,16.17,122.31,1.0025,16.17,8,0.01,Sindh,25.47,68.72,30,plains,1,high,1,3,2.0,126.8653,high,4,0.026814999
Tando Muhammad Khan,2017,0,213.43,41.34,208.39,1.7081,41.34,11,0.0,Sindh,25.12,68.53,20,plains,1,high,1,3,2.0,293.565,very_high,5,0.05113588
Qambar Shahdadkot,2017,0,76.34,31.08,59.91,0.4911,31.08,3,1.58,Sindh,27.55,67.99,46,plains,1,high,1,3,2.0,89.7997,moderate,3,0.123057395
Peshawar,2017,0,581.93,34.96,185.71,1.5222,12.98,10,109.85,KPK,34.0151,71.5249,331,plains,1,medium,1,2,3.0,43.1035,low,2,0.035303853
Swat,2017,1,606.85,25.47,245.18,2.0097,14.51,20,82.47,KPK,35.2227,72.4258,980,mountains,1,medium,4,2,3.0,29.124,low,2,0.8380521
Nowshera,2017,1,658.63,27.87,299.72,2.4567,17.67,20,89.08,KPK,34.0153,71.9747,288,plains,1,medium,1,2,3.0,62.4875,moderate,3,0.9012647
Charsadda,2017,1,658.63,27.87,299.72,2.4567,17.67,20,89.08,KPK,34.1481,71.7408,276,plains,1,medium,1,2,3.0,63.8267,moderate,3,0.88602626
Dir Upper,2017,0,461.66,32.1,96.63,0.792,8.7,3,69.77,KPK,35.5742,72.015,1370,mountains,1,medium,4,2,3.0,13.6849,very_low,1,0.25814945
Dir Lower,2017,0,601.32,36.25,182.77,1.4981,14.68,13,88.29,KPK,34.87,71.89,900,mountains,1,medium,4,2,3.0,26.8733,low,2,0.29229856
Chitral,2017,0,285.31,22.66,34.8,0.2852,4.47,0,40.26,KPK,35.8514,71.7864,1500,mountains,1,medium,4,2,3.0,6.8348,very_low,1,0.1809926
Kohistan,2017,0,636.78,30.66,236.26,1.9366,15.52,13,87.28,KPK,35.0,73.0,1200,mountains,1,medium,4,2,3.0,25.6902,low,2,0.22762175
Tank,2017,0,266.73,35.92,160.41,1.3148,35.92,8,24.09,KPK,32.2194,70.3753,262,plains,1,medium,1,2,3.0,44.4183,low,2,0.112221844
Dera Ismail Khan,2017,0,266.73,35.92,160.41,1.3148,35.92,8,24.09,KPK,31.8303,70.9017,173,plains,1,medium,1,2,3.0,54.6091,moderate,3,0.12090734
Mardan,2017,1,658.63,27.87,299.72,2.4567,17.67,20,89.08,KPK,34.1986,72.0404,283,plains,1,medium,1,2,3.0,63.0352,moderate,3,0.85427815
Abbottabad,2017,0,921.93,33.8,489.82,4.0149,33.8,34,121.46,KPK,34.1558,73.2194,1256,mountains,0,low,4,1,3.0,11.6345,very_low,1,0.0027265355
Haripur,2017,0,921.93,33.8,489.82,4.0149,33.8,34,121.46,KPK,33.9942,72.9394,580,hills,1,medium,3,2,3.0,68.4522,moderate,3,0.019725986
Mansehra,2017,0,734.56,27.53,337.77,2.7686,25.98,22,92.03,KPK,34.3325,73.1975,980,mountains,1,medium,4,2,3.0,37.1282,low,2,0.28818157
Battagram,2017,0,734.56,27.53,337.77,2.7686,25.98,22,92.03,KPK,34.68,73.02,830,mountains,1,medium,4,2,3.0,40.3401,low,2,0.37493864
Shangla,2017,0,606.85,25.47,245.18,2.0097,14.51,20,82.47,KPK,35.0,72.6,1100,mountains,1,medium,4,2,3.0,27.4911,low,2,0.34904924
Buner,2017,0,796.85,27.18,384.38,3.1507,22.72,32,105.82,KPK,34.51,72.5,750,mountains,1,medium,4,2,3.0,48.6036,low,2,0.08191715
Malakand,2017,0,653.87,32.75,256.87,2.1055,17.73,18,89.3,KPK,34.5658,71.9303,850,mountains,1,medium,4,2,3.0,33.8164,low,2,0.45347545
Hangu,2017,0,553.9,29.77,207.52,1.701,13.04,13,105.43,KPK,33.5286,71.0594,710,hills,0,low,3,1,3.0,7.6338,very_low,1,0.0019562505
Karak,2017,0,472.08,22.58,220.43,1.8068,19.67,14,81.08,KPK,33.1172,71.0942,590,hills,0,low,3,1,3.0,8.1618,very_low,1,0.0021986042
Kohat,2017,0,553.9,29.77,207.52,1.701,13.04,13,105.43,KPK,33.5869,71.4414,518,hills,1,medium,3,2,3.0,35.7398,low,2,0.006063462
Lakki Marwat,2017,0,361.09,39.6,177.35,1.4537,39.6,5,52.16,KPK,32.6072,70.9125,218,plains,1,medium,1,2,3.0,52.1967,moderate,3,0.116232015
Bannu,2017,0,495.62,28.71,185.52,1.5207,23.86,8,101.54,KPK,32.9889,70.6006,370,plains,1,medium,1,2,3.0,37.5326,low,2,0.044543482
Kurram,2017,0,561.57,40.36,122.03,1.0002,17.33,5,130.66,KPK,33.8872,70.0989,1800,mountains,1,medium,4,2,3.0,15.2163,low,2,0.000646483
Orakzai,2017,0,599.21,36.44,176.81,1.4493,16.23,11,141.14,KPK,33.6583,70.9333,1400,mountains,0,low,4,1,3.0,5.2222,very_low,1,0.0005890836
Khyber,2017,0,581.93,34.96,185.71,1.5222,12.98,10,109.85,KPK,34.1,71.1,1070,mountains,0,low,4,1,3.0,5.9997,very_low,1,0.0014645326
Mohmand,2017,0,596.8,39.18,166.78,1.367,20.07,9,107.02,KPK,34.4,71.2,900,mountains,1,medium,4,2,3.0,25.5762,low,2,0.017288174
Bajaur,2017,0,596.8,39.18,166.78,1.367,20.07,9,107.02,KPK,34.69,71.5,1100,mountains,1,medium,4,2,3.0,23.1369,low,2,0.017288174
South Waziristan,2017,0,365.43,27.97,152.25,1.248,27.97,9,57.11,KPK,32.3,69.8,1800,mountains,1,medium,4,2,3.0,15.1552,low,2,0.0036358694
North Waziristan,2017,0,506.54,31.51,166.83,1.3675,17.43,7,107.98,KPK,33.0,70.0,1400,mountains,1,medium,4,2,3.0,18.5539,low,2,0.0019876296
Torghar,2017,0,636.78,30.66,236.26,1.9366,15.52,13,87.28,KPK,34.9,72.9,2200,mountains,1,medium,4,2,3.0,18.977,low,2,0.1643266
Kolai Pallas,2017,0,636.78,30.66,236.26,1.9366,15.52,13,87.28,KPK,35.2,73.1,1800,mountains,1,medium,4,2,3.0,20.9788,low,2,0.17539538
Swabi,2017,1,887.99,32.3,472.63,3.874,32.3,34,115.05,KPK,34.12,72.47,360,plains,1,medium,1,2,3.0,84.0375,moderate,3,0.8151141
Tor Ghar,2017,0,636.78,30.66,236.26,1.9366,15.52,13,87.28,KPK,34.85,72.85,2100,mountains,1,medium,4,2,3.0,19.4234,low,2,0.0026363651
Khyber Tribal,2017,0,581.93,34.96,185.71,1.5222,12.98,10,109.85,KPK,34.2,71.0,950,mountains,0,low,4,1,3.0,6.367,very_low,1,0.0015152784
Quetta,2017,0,156.84,32.44,58.32,0.478,32.44,2,1.2,Balochistan,30.1798,66.975,1680,mountains,0,low,4,1,4.0,2.5091,very_low,1,0.0060937083
Naseerabad,2017,1,146.8,42.85,113.99,0.9343,42.85,6,3.54,Balochistan,28.8775,68.3497,55,plains,1,medium,1,2,4.0,87.1774,moderate,3,0.9797298
Jaffarabad,2017,1,95.81,19.51,66.9,0.5484,19.51,4,3.03,Balochistan,28.5236,68.1636,58,plains,1,medium,1,2,4.0,44.3476,low,2,0.9702187
Lasbela,2017,0,124.02,22.51,95.6,0.7836,22.51,6,0.78,Balochistan,26.2197,66.6997,36,coastal,0,high,2,3,4.0,54.9323,moderate,3,0.040895894
Kalat,2017,0,133.1,34.02,75.1,0.6156,34.02,4,2.56,Balochistan,29.0239,66.5903,1920,mountains,0,low,4,1,4.0,2.7174,very_low,1,0.04503792
Khuzdar,2017,0,144.22,14.08,84.01,0.6886,14.08,5,5.82,Balochistan,27.8125,66.6167,1260,mountains,0,low,4,1,4.0,2.4237,very_low,1,0.05948683
Turbat,2017,0,24.1,11.2,1.19,0.0098,0.59,0,4.62,Balochistan,26.0025,63.0406,152,plains,1,medium,1,2,4.0,7.4746,very_low,1,0.04325119
Gwadar,2017,0,48.04,9.9,13.34,0.1093,1.42,0,5.44,Balochistan,25.1264,62.3256,10,coastal,0,high,2,3,4.0,25.1497,low,2,0.022261156
Panjgur,2017,0,46.4,15.79,6.89,0.0565,1.31,0,13.31,Balochistan,26.9667,64.0833,969,mountains,1,low,4,1,4.0,2.2934,very_low,1,0.04166692
Chagai,2017,0,39.85,17.29,4.8,0.0393,1.21,0,0.87,Balochistan,29.1,64.52,900,mountains,0,low,4,1,4.0,1.248,very_low,1,0.0021077322
Nushki,2017,0,97.88,18.36,22.05,0.1807,11.27,1,0.71,Balochistan,29.5519,66.0206,1340,mountains,0,low,4,1,4.0,1.405,very_low,1,0.0029168855
Kharan,2017,0,83.85,19.26,32.23,0.2642,6.58,2,3.59,Balochistan,28.5833,65.4167,900,mountains,0,low,4,1,4.0,2.0275,very_low,1,0.0024268564
Washuk,2017,0,47.3,17.79,7.32,0.06,1.41,0,10.86,Balochistan,27.5667,64.4667,700,mountains,0,low,4,1,4.0,1.5097,very_low,1,0.0016731102
Awaran,2017,0,56.94,9.54,17.76,0.1456,2.1,0,12.1,Balochistan,26.3597,65.2436,420,mountains,1,medium,4,2,4.0,5.797,very_low,1,0.053019073
Kech,2017,0,24.1,11.2,1.19,0.0098,0.59,0,4.62,Balochistan,26.05,63.05,140,plains,1,medium,1,2,4.0,7.7862,very_low,1,0.04495682
Dera Bugti,2017,1,130.87,25.59,99.02,0.8116,25.59,8,3.99,Balochistan,29.0369,69.1583,180,plains,1,medium,1,2,4.0,36.4488,low,2,0.9065841
Kohlu,2017,0,155.07,35.2,111.5,0.9139,35.2,6,3.66,Balochistan,29.8942,69.2542,950,mountains,1,low,4,1,4.0,9.4882,very_low,1,0.0013056285
Sibi,2017,0,195.66,68.62,157.01,1.287,68.62,8,3.74,Balochistan,29.5444,67.8775,133,plains,1,medium,1,2,4.0,84.1221,moderate,3,0.13388489
Ziarat,2017,0,189.52,39.88,96.15,0.7881,39.88,5,1.99,Balochistan,30.3819,67.7264,2449,mountains,0,low,4,1,4.0,2.9284,very_low,1,0.001097791
Pishin,2017,0,156.0,20.11,37.22,0.3051,17.53,2,0.76,Balochistan,30.5758,66.9953,1580,mountains,0,low,4,1,4.0,1.6486,very_low,1,0.011392312
Qilla Abdullah,2017,0,156.0,20.11,37.22,0.3051,17.53,2,0.76,Balochistan,30.6803,66.5806,1200,mountains,0,low,4,1,4.0,1.8915,very_low,1,0.0024309822
Qilla Saifullah,2017,0,189.1,42.65,125.85,1.0316,42.65,6,2.88,Balochistan,30.7039,68.3508,1550,mountains,0,low,4,1,4.0,4.3118,very_low,1,0.0011780637
Loralai,2017,0,194.07,45.94,124.7,1.0221,45.94,7,2.78,Balochistan,30.3722,68.5917,1390,mountains,0,low,4,1,4.0,4.7512,very_low,1,0.0041591283
Musakhel,2017,0,123.35,11.35,79.17,0.6489,11.35,5,5.61,Balochistan,30.0,69.75,1050,mountains,1,low,4,1,4.0,4.7936,very_low,1,0.011669695
Barkhan,2017,0,155.07,35.2,111.5,0.9139,35.2,6,3.66,Balochistan,29.8958,69.5264,1000,mountains,1,low,4,1,4.0,9.2482,very_low,1,0.0047228676
Harnai,2017,0,205.38,66.21,156.4,1.282,66.21,8,3.44,Balochistan,30.1,67.93,1100,mountains,1,low,4,1,4.0,14.3611,very_low,1,0.0028688386
Sherani,2017,0,165.12,12.69,101.62,0.833,12.69,5,5.92,Balochistan,31.05,69.95,1650,mountains,0,low,4,1,4.0,2.3098,very_low,1,0.0014216548
Zhob,2017,0,174.37,12.84,90.18,0.7392,12.84,4,5.87,Balochistan,31.3436,69.4486,1405,mountains,1,low,4,1,4.0,4.5758,very_low,1,0.0020038148
Jhal Magsi,2017,1,125.67,31.52,84.3,0.691,31.52,5,3.72,Balochistan,28.2808,67.7256,62,plains,1,medium,1,2,4.0,61.0387,moderate,3,0.954562
Khairpur Tamewali,2017,0,174.31,18.27,129.6,1.0623,18.27,7,20.84,Balochistan,29.5694,72.2403,100,plains,1,medium,1,2,4.0,49.6723,low,2,0.0035480794
Mastung,2017,0,156.84,32.44,58.32,0.478,32.44,2,1.2,Balochistan,29.7942,66.8411,1840,mountains,0,low,4,1,4.0,2.3976,very_low,1,0.0060937083
Surab,2017,0,115.17,18.86,53.1,0.4352,10.36,3,4.13,Balochistan,28.49,66.26,1620,mountains,0,low,4,1,4.0,1.84,very_low,1,0.0017794534
Lehri,2017,0,195.66,68.62,157.01,1.287,68.62,8,3.74,Balochistan,29.43,68.18,80,plains,1,medium,1,2,4.0,108.1982,high,4,0.14979888
Gilgit,2017,0,246.13,12.54,66.37,0.544,3.88,0,47.71,GB,35.9208,74.3089,1500,mountains,1,medium,4,2,6.0,6.7008,very_low,1,0.26829174
Skardu,2017,0,443.69,27.67,111.35,0.9127,14.2,5,102.33,GB,35.2971,75.6333,2438,mountains,1,medium,4,2,6.0,10.5009,very_low,1,0.0043807267
Hunza,2017,0,146.33,5.85,41.03,0.3363,3.26,0,27.45,GB,36.3147,74.6481,2438,mountains,1,medium,4,2,6.0,2.9415,very_low,1,0.28744006
Nagar,2017,0,246.13,12.54,66.37,0.544,3.88,0,47.71,GB,36.2333,74.45,2900,mountains,1,medium,4,2,6.0,4.82,very_low,1,0.051475555
Ghanche,2017,0,324.83,14.37,108.25,0.8873,8.74,4,64.96,GB,35.49,76.67,2700,mountains,1,medium,4,2,6.0,7.6727,very_low,1,0.023694215
Shigar,2017,0,443.69,27.67,111.35,0.9127,14.2,5,102.33,GB,35.51,75.7,2620,mountains,1,medium,4,2,6.0,10.1298,very_low,1,0.0015767337
Kharmang,2017,0,428.68,25.55,103.25,0.8463,9.42,3,91.38,GB,35.08,76.2,2500,mountains,1,medium,4,2,6.0,9.4021,very_low,1,0.00262286
Roundu,2017,0,359.35,15.99,109.59,0.8983,7.33,1,58.79,GB,35.5,73.7,1600,mountains,1,medium,4,2,6.0,9.9203,very_low,1,0.057401516
Tangir,2017,0,434.67,24.91,117.56,0.9636,8.9,4,62.97,GB,35.5,73.2,1400,mountains,1,medium,4,2,6.0,13.5032,very_low,1,0.017305251
